sample	transcript	read_length
Control_2_demo	ENST00000407445	1243
Control_2_demo	ENST00000407445	1268
Control_2_demo	ENST00000407445	1275
Control_2_demo	ENST00000407445	465
Control_2_demo	ENST00000407445	484
Control_2_demo	ENST00000407445	425
Control_2_demo	ENST00000407445	2034
Control_2_demo	ENST00000614357	1420
Control_2_demo	ENST00000614357	1981
Control_2_demo	ENST00000614357	1924
Control_2_demo	ENST00000614357	1383
Control_2_demo	ENST00000614357	1377
Control_2_demo	ENST00000614357	574
Control_2_demo	ENST00000360971	3329
Control_2_demo	ENST00000360971	3070
Control_2_demo	ENST00000360971	3108
Control_2_demo	ENST00000360971	2633
Control_2_demo	ENST00000360971	2443
Control_2_demo	ENST00000360971	2720
Control_2_demo	ENST00000360971	1563
Control_2_demo	ENST00000360971	863
Control_2_demo	ENST00000360971	1459
Control_2_demo	ENST00000360971	2476
Control_2_demo	ENST00000360971	1447
Control_2_demo	ENST00000360971	1235
Control_2_demo	ENST00000360971	1175
Control_2_demo	ENST00000360971	904
Control_2_demo	ENST00000360971	906
Control_2_demo	ENST00000494857	1657
Control_2_demo	ENST00000494857	2118
Control_2_demo	ENST00000494857	1341
Control_2_demo	ENST00000494857	1087
Control_2_demo	ENST00000621744	9716
Control_2_demo	ENST00000621744	7621
Control_2_demo	ENST00000621744	6836
Control_2_demo	ENST00000621744	1075
Control_2_demo	ENST00000621744	4686
Control_2_demo	ENST00000621744	4018
Control_2_demo	ENST00000621744	3993
Control_2_demo	ENST00000621744	3492
Control_2_demo	ENST00000621744	2721
Control_2_demo	ENST00000621744	2535
Control_2_demo	ENST00000621744	2340
Control_2_demo	ENST00000621744	1921
Control_2_demo	ENST00000621744	1918
Control_2_demo	ENST00000621744	2399
Control_2_demo	ENST00000621744	1702
Control_2_demo	ENST00000621744	1717
Control_2_demo	ENST00000621744	1348
Control_2_demo	ENST00000621744	342
Control_2_demo	ENST00000413371	3311
Control_2_demo	ENST00000413371	3320
Control_2_demo	ENST00000413371	3445
Control_2_demo	ENST00000413371	3332
Control_2_demo	ENST00000413371	1794
Control_2_demo	ENST00000413371	456
Control_2_demo	ENST00000308497	9346
Control_2_demo	ENST00000308497	9220
Control_2_demo	ENST00000308497	6085
Control_2_demo	ENST00000308497	1137
Control_2_demo	ENST00000308497	4900
Control_2_demo	ENST00000308497	4516
Control_2_demo	ENST00000308497	2045
Control_2_demo	ENST00000308497	1433
Control_2_demo	ENST00000308497	2180
Control_2_demo	ENST00000308497	2107
Control_2_demo	ENST00000308497	1878
Control_2_demo	ENST00000308497	1590
Control_2_demo	ENST00000308497	1364
Control_2_demo	ENST00000308497	484
Control_2_demo	ENST00000308497	223
Control_2_demo	ENST00000314250	4836
Control_2_demo	ENST00000314250	3470
Control_2_demo	ENST00000597937	3572
Control_2_demo	ENST00000597937	3548
Control_2_demo	ENST00000597937	3493
Control_2_demo	ENST00000597937	2392
Control_2_demo	ENST00000597937	2115
Control_2_demo	ENST00000405442	1330
